PARAM,AVG_TIME,RUN,FAILED,Nb instances
20,7478,1,0,4
20,9581,2,0,5
20,7463,3,0,4
40,13602,1,0,4
40,12483,2,0,7
40,13196,3,0,7
60,17101,1,0,8
60,17005,2,0,8
60,17033,3,0,8
